loan_amount,annual_income,interest_rate,dti_ratio,credit_score,employment_length,num_open_accounts,num_derogatory_records,revolving_utilization,total_credit_lines,months_since_last_delinquency,home_ownership,loan_purpose,term_months,default
5272,86780,23.8,20.32,632,0,8,0,25.7,30,36,OWN,credit_card,60,0
15333,197088,13.91,27.06,543,10,6,2,31.8,19,72,RENT,debt_consolidation,60,0
22402,64480,18.87,11.97,619,2,10,2,38.2,21,0,MORTGAGE,debt_consolidation,36,0
15062,52573,9.83,34.54,734,2,11,2,25.9,24,0,MORTGAGE,debt_consolidation,60,0
12320,51249,14.58,4.43,666,10,9,1,40.2,28,999,MORTGAGE,major_purchase,60,0
10820,64513,26.34,25.22,710,5,7,2,13.1,11,6,OWN,medical,60,1
4745,36425,18.03,28.06,700,9,7,0,13.1,14,60,RENT,debt_consolidation,60,0
8071,64351,25.74,9.31,701,3,11,3,11.0,30,0,OWN,major_purchase,36,0
9677,78471,25.75,37.17,761,10,9,0,34.8,31,0,MORTGAGE,debt_consolidation,36,0
28000,67901,26.72,27.69,687,9,9,0,30.5,28,36,MORTGAGE,other,60,0
16992,78788,25.59,29.06,754,6,17,0,21.0,23,12,MORTGAGE,debt_consolidation,60,0
3888,77671,5.08,22.4,551,8,6,3,13.3,28,48,RENT,credit_card,36,0
16761,20678,26.48,40.93,766,10,13,2,13.6,28,6,RENT,other,36,0
10203,87739,8.16,31.23,622,5,5,1,37.2,15,12,MORTGAGE,home_improvement,36,0
8317,40030,5.92,17.18,635,6,7,0,40.6,22,60,RENT,debt_consolidation,36,0
20499,31023,6.27,10.74,657,8,14,2,36.0,25,0,MORTGAGE,debt_consolidation,36,0
27493,30863,13.03,3.2,765,4,12,1,11.3,21,18,RENT,home_improvement,60,0
25639,77662,19.28,7.44,646,10,10,0,57.0,20,72,MORTGAGE,home_improvement,36,0
7424,52389,14.25,44.67,660,0,14,3,12.2,16,0,RENT,debt_consolidation,36,0
10759,21825,5.59,18.3,642,5,7,0,28.1,27,18,MORTGAGE,major_purchase,60,0
16846,79763,15.96,40.44,715,8,5,0,45.2,20,0,RENT,debt_consolidation,36,0
26446,25241,15.17,7.68,744,5,8,0,62.6,21,999,MORTGAGE,debt_consolidation,36,0
9552,65113,22.41,19.14,802,3,9,3,15.0,21,0,RENT,home_improvement,36,0
11731,69085,11.43,43.22,843,5,8,0,14.3,23,6,RENT,home_improvement,36,0
6158,101859,10.0,4.1,739,10,10,1,47.9,19,48,RENT,debt_consolidation,60,0
5782,174383,10.89,26.73,721,7,15,0,21.0,12,0,OTHER,credit_card,36,0
23594,26401,11.99,41.36,626,4,12,0,16.2,23,72,RENT,major_purchase,36,1
34522,58018,18.78,42.74,814,8,8,0,56.1,17,0,RENT,major_purchase,60,0
12702,50726,15.85,38.07,712,7,8,0,37.6,20,0,RENT,debt_consolidation,36,0
26969,77671,12.75,38.52,682,7,8,0,18.2,24,36,MORTGAGE,major_purchase,36,0
17208,68145,13.61,29.35,723,5,12,0,21.8,17,72,RENT,credit_card,36,0
8505,48458,13.53,9.92,661,0,16,0,22.5,20,0,MORTGAGE,credit_card,60,0
17205,45956,27.37,32.88,559,7,7,0,40.3,29,0,MORTGAGE,other,60,0
39207,30642,10.36,44.03,734,5,9,1,29.7,26,0,OTHER,car,60,0
13028,108306,23.82,23.67,780,5,8,0,40.4,21,999,RENT,debt_consolidation,36,0
39944,78867,21.29,11.73,733,2,10,0,55.0,20,60,MORTGAGE,debt_consolidation,60,0
2134,103845,5.13,25.81,699,3,10,0,18.3,15,0,RENT,debt_consolidation,36,0
23749,49700,27.84,31.08,700,9,9,0,17.4,21,0,MORTGAGE,debt_consolidation,36,0
14199,40372,22.4,9.37,710,6,7,0,37.0,17,24,RENT,debt_consolidation,36,0
10836,31351,20.7,32.36,708,1,11,0,32.9,20,24,RENT,debt_consolidation,36,0
14246,74261,14.32,26.43,696,0,8,0,0.1,26,60,RENT,debt_consolidation,36,1
3323,32084,17.77,27.56,701,2,9,0,60.8,13,24,RENT,credit_card,36,0
11455,181533,10.83,13.77,793,6,9,0,33.1,19,0,MORTGAGE,major_purchase,36,0
17153,27321,5.82,6.99,728,7,14,0,47.6,23,0,MORTGAGE,major_purchase,36,0
37591,70558,24.23,28.06,706,1,13,0,4.9,16,0,RENT,debt_consolidation,36,0
9294,153293,25.62,26.38,739,5,8,0,48.1,28,18,MORTGAGE,debt_consolidation,36,0
7585,85772,8.74,15.21,739,0,10,0,38.1,28,6,RENT,debt_consolidation,36,0
9402,66529,23.1,13.32,756,0,7,3,39.1,23,36,RENT,credit_card,60,0
25356,33486,22.05,15.63,654,10,12,2,30.0,21,0,MORTGAGE,credit_card,36,0
16816,26132,9.1,22.04,671,8,11,3,12.6,17,999,MORTGAGE,medical,36,0
9220,95037,14.7,43.87,651,9,13,0,8.0,27,999,RENT,other,36,0
19135,147810,14.72,34.36,746,2,8,0,10.5,21,999,OWN,major_purchase,36,0
14299,46013,22.48,38.33,743,4,6,3,36.1,20,60,RENT,debt_consolidation,36,0
26319,30229,24.27,22.75,623,5,11,0,19.6,26,72,MORTGAGE,debt_consolidation,36,0
8172,15000,7.18,23.68,723,8,10,0,51.4,28,48,OWN,credit_card,36,0
10621,33241,17.95,9.19,782,6,15,0,37.4,27,6,MORTGAGE,credit_card,36,0
10152,55927,22.52,32.45,685,7,12,1,28.1,24,999,RENT,other,36,0
4796,156290,23.08,18.97,718,2,16,1,12.2,22,18,RENT,home_improvement,36,0
16436,89668,8.4,33.41,743,6,9,0,30.1,22,24,RENT,credit_card,36,0
16038,71901,17.09,18.41,620,9,9,3,26.7,36,0,RENT,credit_card,60,0
13407,47095,24.72,4.88,709,6,9,3,47.5,28,0,MORTGAGE,debt_consolidation,60,0
11336,42196,12.33,7.79,776,2,8,0,47.5,21,999,MORTGAGE,debt_consolidation,60,0
4960,139161,14.78,36.52,664,5,10,0,24.8,25,0,RENT,debt_consolidation,36,0
9952,67537,23.5,11.64,749,9,8,1,18.5,18,999,RENT,credit_card,60,0
10510,16957,7.05,11.9,701,1,12,1,15.0,20,0,MORTGAGE,credit_card,36,0
7619,39969,24.77,41.82,659,7,7,2,20.0,14,6,MORTGAGE,major_purchase,36,0
11933,35777,12.16,29.59,694,10,7,0,35.5,19,48,OWN,education,36,0
17726,43141,5.03,5.14,668,4,14,0,71.9,21,12,RENT,major_purchase,36,0
40000,83930,10.39,6.46,646,0,6,0,43.0,14,72,MORTGAGE,medical,36,0
15096,56136,7.06,12.26,684,8,7,0,18.9,27,0,RENT,home_improvement,36,0
15999,57175,7.12,26.73,704,0,10,2,22.2,23,0,MORTGAGE,debt_consolidation,36,0
12681,131673,20.94,33.88,690,2,8,0,14.2,20,0,RENT,credit_card,60,0
3487,39423,9.92,12.35,684,0,9,0,34.6,22,24,RENT,debt_consolidation,36,0
13114,183234,26.5,39.18,713,2,12,0,49.9,28,0,RENT,credit_card,60,0
13935,40023,16.88,4.91,731,10,15,0,21.2,24,48,MORTGAGE,major_purchase,36,0
40000,63165,15.58,9.34,631,9,7,0,14.1,26,72,MORTGAGE,credit_card,36,0
11676,50578,14.99,43.67,684,4,8,0,2.9,13,48,RENT,credit_card,36,0
16499,64476,20.93,6.06,581,10,9,1,48.0,19,24,MORTGAGE,car,36,0
13039,78178,15.4,39.97,690,8,2,0,19.5,28,999,RENT,home_improvement,36,0
5895,77675,7.96,31.68,709,5,9,1,17.4,23,6,MORTGAGE,debt_consolidation,36,0
29731,38106,25.24,3.29,734,0,10,0,30.8,19,6,RENT,debt_consolidation,60,0
22614,30523,14.85,21.77,709,9,10,0,17.9,27,60,MORTGAGE,medical,60,1
23242,268848,6.7,23.35,732,4,12,3,14.9,19,0,MORTGAGE,other,36,0
7068,44784,17.18,41.95,703,3,8,0,19.8,22,999,MORTGAGE,other,60,0
35666,91083,19.89,18.95,659,3,4,1,21.4,20,60,OWN,debt_consolidation,60,0
5007,22820,11.34,20.1,633,0,7,1,56.0,16,0,RENT,credit_card,36,0
20146,50626,23.41,5.06,684,9,13,1,42.1,19,12,RENT,credit_card,36,0
40000,55474,20.4,28.76,654,1,11,0,53.0,26,999,MORTGAGE,debt_consolidation,36,0
6678,79514,19.96,9.49,692,6,9,2,37.9,21,999,OTHER,home_improvement,36,0
8987,15000,14.68,3.49,670,0,13,0,44.3,18,12,MORTGAGE,debt_consolidation,36,0
14324,66150,27.12,44.86,725,7,11,1,19.3,31,0,RENT,home_improvement,36,0
9391,30036,11.31,12.13,702,4,11,1,34.0,24,0,RENT,medical,36,0
4512,72737,18.29,6.35,726,8,16,0,53.2,25,0,RENT,debt_consolidation,60,0
14016,32151,12.11,31.48,726,1,10,0,45.7,29,999,MORTGAGE,debt_consolidation,36,0
6351,35836,22.13,36.98,689,3,14,3,37.8,24,24,RENT,debt_consolidation,60,1
18611,50808,6.1,2.88,692,1,10,0,28.5,23,0,MORTGAGE,debt_consolidation,36,0
7019,31843,6.06,4.74,730,8,12,0,7.6,17,12,RENT,debt_consolidation,60,0
39535,45011,23.65,4.06,846,1,9,0,29.0,18,0,RENT,credit_card,60,0
7721,29259,14.99,2.11,640,7,8,0,13.3,23,0,MORTGAGE,medical,36,0
10663,19932,12.85,29.68,702,1,16,1,27.8,23,0,MORTGAGE,debt_consolidation,36,0
23610,110279,18.97,26.47,628,10,6,0,14.2,21,60,MORTGAGE,home_improvement,60,1
5644,27511,21.14,29.83,698,5,15,0,44.4,19,6,MORTGAGE,home_improvement,36,0
15665,53787,9.63,22.76,659,1,5,1,31.6,20,999,MORTGAGE,debt_consolidation,36,0
33356,94064,9.26,36.79,692,0,17,1,3.4,15,0,RENT,credit_card,36,0
4336,41399,27.04,24.6,709,4,10,2,35.5,23,0,RENT,debt_consolidation,60,0
15202,36493,18.56,41.34,670,10,9,0,15.1,21,60,MORTGAGE,credit_card,60,0
16025,68579,13.97,21.85,592,1,9,0,19.4,16,0,OWN,other,36,0
23092,117097,23.43,35.58,785,9,7,0,35.8,27,12,MORTGAGE,credit_card,36,0
5620,29685,17.08,18.33,750,5,14,0,38.8,24,0,OTHER,debt_consolidation,36,0
5301,54715,10.56,19.59,692,9,4,1,68.3,27,0,MORTGAGE,debt_consolidation,60,0
19251,21173,9.75,38.2,646,10,10,0,38.5,25,999,RENT,small_business,36,0
16446,47291,14.13,4.84,705,10,10,0,29.0,19,0,MORTGAGE,credit_card,60,0
15920,61115,24.78,25.42,721,0,16,1,2.1,20,48,MORTGAGE,small_business,36,0
17026,35854,6.41,32.69,746,9,9,3,19.8,21,72,RENT,education,36,0
8299,45515,10.03,33.77,751,0,11,0,1.9,26,60,RENT,car,36,0
15718,25721,25.54,26.62,763,3,13,2,29.1,23,0,RENT,car,36,0
16401,62708,7.8,20.16,595,8,9,0,23.5,19,999,RENT,debt_consolidation,36,0
8102,112805,19.48,11.74,681,5,7,0,21.9,24,0,MORTGAGE,credit_card,36,0
40000,30999,9.91,40.92,759,7,9,0,13.6,21,0,OWN,home_improvement,36,0
18614,41208,18.93,16.64,644,10,3,0,15.7,20,0,OWN,debt_consolidation,36,0
5802,80945,13.81,35.95,773,9,18,0,6.3,9,18,MORTGAGE,medical,36,0
21154,123903,7.34,1.42,808,4,10,0,20.5,27,12,RENT,debt_consolidation,36,0
6752,24442,18.4,10.45,771,7,12,0,44.5,26,0,MORTGAGE,medical,60,0
23178,54107,20.71,15.55,739,0,6,2,27.1,22,0,MORTGAGE,debt_consolidation,36,0
30061,70960,20.65,30.22,673,5,15,0,26.5,25,48,MORTGAGE,debt_consolidation,36,0
7521,56317,19.65,14.37,716,7,19,0,35.4,23,72,RENT,debt_consolidation,36,0
26222,15000,16.51,1.86,619,8,10,0,14.0,31,0,RENT,credit_card,60,0
17835,80874,16.95,7.82,653,10,6,1,12.4,24,72,RENT,credit_card,36,0
23752,148985,19.62,11.66,657,3,15,0,59.5,27,0,OTHER,credit_card,36,0
40000,64215,20.88,7.92,703,10,7,1,13.8,20,0,RENT,credit_card,36,1
11251,32252,20.06,9.17,676,8,11,0,45.4,23,0,OWN,major_purchase,36,0
7882,44007,18.5,34.6,715,0,10,0,27.7,19,999,RENT,debt_consolidation,60,0
7167,173155,8.58,18.54,752,4,6,0,38.9,20,999,MORTGAGE,credit_card,36,0
7547,103360,9.84,18.23,657,6,12,0,16.5,18,36,RENT,debt_consolidation,36,0
12657,87905,10.99,43.5,708,4,12,0,35.9,25,18,RENT,debt_consolidation,36,0
16963,74150,26.15,20.1,675,1,12,0,51.0,20,0,OWN,other,36,0
16214,40268,22.47,41.74,711,7,8,0,6.0,27,36,RENT,debt_consolidation,36,0
23837,53085,17.72,13.46,741,1,9,0,18.1,21,0,RENT,other,60,0
13481,57139,10.8,18.03,755,10,10,0,9.9,20,0,MORTGAGE,debt_consolidation,36,0
36955,83261,7.55,17.83,740,10,7,0,29.1,23,0,RENT,credit_card,36,0
11100,148056,25.67,24.57,724,6,13,0,25.3,27,36,MORTGAGE,education,36,0
40000,117125,25.53,26.29,614,0,12,1,16.3,32,24,OWN,major_purchase,60,0
20701,25549,7.55,11.17,635,7,13,3,32.9,21,999,MORTGAGE,credit_card,36,0
7331,68486,23.34,35.71,650,7,10,0,6.1,26,999,OWN,home_improvement,60,1
6313,93158,15.27,22.34,721,10,9,0,24.0,27,0,OWN,debt_consolidation,36,0
18727,86796,12.45,0.32,622,0,9,3,28.2,22,0,MORTGAGE,debt_consolidation,36,0
11425,41046,22.0,26.61,720,8,15,0,16.7,25,0,RENT,other,60,0
22022,300000,19.13,35.91,715,7,6,0,30.1,31,0,MORTGAGE,home_improvement,36,0
18606,27826,22.94,11.27,583,2,12,0,4.7,19,0,RENT,medical,36,0
12695,31259,6.71,1.7,634,1,2,0,33.3,28,60,RENT,education,36,0
7385,68882,12.33,36.32,762,8,15,0,17.6,21,999,MORTGAGE,small_business,60,0
4626,213220,12.34,43.93,741,4,7,0,11.7,27,0,RENT,debt_consolidation,60,0
9773,36253,12.58,3.45,648,10,10,1,40.7,28,0,RENT,debt_consolidation,36,0
24330,51047,16.56,42.21,637,10,10,0,1.2,23,0,MORTGAGE,debt_consolidation,36,1
15519,114276,11.51,16.17,552,7,10,0,27.7,23,999,MORTGAGE,debt_consolidation,36,0
5585,59235,15.22,42.36,788,8,12,1,31.0,18,0,MORTGAGE,debt_consolidation,60,0
15081,48983,13.46,29.2,702,2,18,3,18.3,19,999,MORTGAGE,education,60,0
17495,84067,21.91,40.06,813,10,11,0,10.5,21,6,RENT,debt_consolidation,36,0
7196,70510,18.88,35.36,688,5,8,0,30.6,18,72,MORTGAGE,home_improvement,36,0
14877,111108,20.03,1.26,716,6,8,0,26.5,20,0,MORTGAGE,education,60,0
13915,129946,9.84,2.94,753,10,7,3,22.7,22,72,RENT,medical,36,0
6002,71984,12.49,23.66,798,0,11,0,57.8,17,999,MORTGAGE,debt_consolidation,36,0
17161,71327,5.49,5.83,730,6,12,0,13.2,26,36,MORTGAGE,debt_consolidation,36,0
19782,68081,7.49,20.75,700,7,8,0,29.9,18,999,RENT,debt_consolidation,60,0
28513,80296,11.1,42.96,701,2,8,2,20.7,19,0,OWN,debt_consolidation,36,0
27935,61889,6.51,13.26,637,0,10,0,44.6,17,0,MORTGAGE,credit_card,36,0
5093,59852,18.86,22.0,677,6,11,0,34.0,27,0,RENT,other,36,0
6929,122758,27.96,17.29,703,7,7,0,17.5,28,999,RENT,credit_card,36,0
19158,148697,7.32,28.34,782,4,11,3,5.2,19,36,OWN,debt_consolidation,60,0
19142,24232,23.89,8.72,674,10,10,0,23.2,25,0,RENT,debt_consolidation,60,1
19159,60235,7.73,11.7,763,3,5,0,49.8,23,0,OWN,other,36,0
40000,39607,20.41,38.64,695,6,11,0,21.7,23,36,OWN,credit_card,60,0
19922,49682,19.79,36.51,774,2,8,3,18.9,23,0,RENT,home_improvement,36,0
29581,76229,25.76,35.51,740,0,8,2,47.3,26,24,RENT,debt_consolidation,60,0
26050,89470,7.62,34.69,736,5,12,0,35.2,12,0,MORTGAGE,debt_consolidation,36,0
21077,55978,12.26,20.67,758,6,9,0,57.4,27,0,MORTGAGE,credit_card,36,0
10714,18996,7.09,32.8,749,9,12,0,18.7,35,999,OWN,debt_consolidation,60,0
22726,33556,14.37,17.42,763,5,13,3,14.4,27,60,MORTGAGE,debt_consolidation,60,0
7777,102528,25.97,4.53,827,3,6,0,25.3,31,999,MORTGAGE,debt_consolidation,36,0
11318,15000,22.98,17.7,797,7,14,0,32.8,28,18,MORTGAGE,credit_card,60,0
9511,122082,21.63,7.14,727,4,12,1,5.6,26,0,RENT,small_business,36,0
14147,81857,17.26,17.59,673,2,9,0,35.4,18,36,MORTGAGE,debt_consolidation,36,0
40000,131887,25.32,13.38,721,10,8,0,44.4,24,48,MORTGAGE,other,36,0
3615,53149,15.34,26.96,584,6,7,2,39.9,25,999,RENT,debt_consolidation,60,0
21598,17381,8.44,16.27,749,2,15,1,61.8,16,0,RENT,home_improvement,36,0
4320,77514,24.26,31.75,636,8,13,3,53.3,18,0,RENT,other,36,1
9601,128642,11.43,23.05,767,9,10,0,19.2,18,48,RENT,credit_card,60,0
28631,104279,6.23,41.38,818,9,11,0,8.7,24,0,RENT,other,60,0
13974,40230,7.9,4.1,612,7,7,0,6.7,22,999,MORTGAGE,credit_card,36,0
6282,63073,19.01,30.95,696,6,11,0,21.6,23,48,MORTGAGE,debt_consolidation,60,0
8097,43490,18.96,30.26,636,9,8,0,61.7,21,24,MORTGAGE,debt_consolidation,60,0
21498,36623,10.98,42.78,596,8,8,0,21.9,21,12,MORTGAGE,major_purchase,60,1
8012,106216,21.73,16.72,693,7,11,0,11.3,13,0,RENT,car,36,0
15545,29187,22.79,13.74,738,8,16,0,31.7,21,6,OWN,major_purchase,36,0
13792,35021,26.17,7.76,745,2,11,0,32.2,15,24,RENT,small_business,36,0
8466,30871,18.45,11.94,709,0,13,0,17.6,19,999,OTHER,debt_consolidation,36,0
40000,24485,22.93,22.59,600,10,7,0,17.4,18,18,OTHER,home_improvement,36,0
20821,65371,22.32,37.7,707,10,11,1,15.4,18,18,RENT,debt_consolidation,60,0
3236,120198,10.93,12.79,610,9,7,0,25.0,18,24,MORTGAGE,debt_consolidation,60,0
15222,53587,12.14,7.1,614,4,17,0,20.0,36,0,RENT,debt_consolidation,36,0
8406,24259,16.01,12.25,640,2,10,0,14.0,15,24,MORTGAGE,education,36,0
24262,99108,5.44,4.54,762,4,15,0,15.6,29,6,RENT,debt_consolidation,36,0
7671,164624,11.84,41.7,732,8,14,0,31.7,21,72,RENT,debt_consolidation,36,0
12328,40629,15.9,39.27,719,4,11,1,24.4,20,72,OWN,major_purchase,36,0
19024,44930,7.49,13.88,648,9,10,2,42.9,22,36,MORTGAGE,debt_consolidation,36,0
24490,81584,7.9,11.11,676,8,7,0,54.6,25,36,MORTGAGE,credit_card,36,0
5766,158438,15.65,40.74,617,7,15,0,43.3,29,36,OWN,debt_consolidation,36,0
10570,43831,21.81,0.08,781,10,13,1,27.5,21,36,MORTGAGE,major_purchase,60,0
9581,26917,24.18,27.03,831,10,10,0,11.8,16,0,MORTGAGE,debt_consolidation,36,0
8456,87452,17.57,41.22,733,8,8,0,22.6,20,60,RENT,home_improvement,36,0
40000,96706,15.92,22.89,743,2,10,0,29.9,19,24,RENT,other,36,0
17738,60094,13.84,0.13,690,10,7,2,27.2,13,60,RENT,other,36,0
5526,42835,9.44,9.85,602,2,10,1,32.7,29,36,MORTGAGE,debt_consolidation,36,0
25399,108730,8.37,41.51,649,4,12,2,45.6,22,12,MORTGAGE,debt_consolidation,36,0
40000,82192,23.21,0.77,672,9,13,0,27.9,23,36,RENT,credit_card,60,0
27521,37757,15.7,17.77,676,2,6,0,14.9,24,24,MORTGAGE,debt_consolidation,36,0
4612,61664,23.18,35.54,663,8,12,0,9.1,19,18,MORTGAGE,other,36,0
9518,26608,21.19,37.71,702,5,17,1,10.0,20,60,MORTGAGE,debt_consolidation,60,1
32429,90357,9.46,21.49,648,7,10,0,34.6,24,72,MORTGAGE,major_purchase,60,0
8140,51157,16.74,10.46,830,10,16,0,13.6,19,12,RENT,major_purchase,36,0
18227,46100,15.21,26.99,618,9,10,0,20.3,24,999,MORTGAGE,debt_consolidation,60,0
22976,58704,14.75,11.87,753,3,15,0,10.9,23,12,RENT,credit_card,60,0
6982,61339,17.48,11.49,684,0,10,0,16.3,21,12,MORTGAGE,credit_card,36,0
12814,102432,27.59,36.34,727,10,10,0,53.7,23,0,RENT,medical,60,0
1381,85361,23.7,6.94,730,7,9,0,45.4,26,0,RENT,small_business,36,0
6521,54510,25.79,0.25,709,2,5,0,17.0,26,999,MORTGAGE,small_business,60,0
11194,94674,5.68,15.15,631,7,12,0,10.9,22,24,MORTGAGE,major_purchase,60,0
5577,76148,8.23,22.09,680,0,14,3,41.3,20,0,MORTGAGE,credit_card,36,0
40000,46352,6.95,31.73,710,2,10,0,30.5,23,999,RENT,small_business,36,0
4909,55557,11.05,35.15,706,8,12,0,64.7,29,48,OWN,medical,36,0
9817,54779,15.16,29.86,638,5,10,1,39.2,28,72,MORTGAGE,debt_consolidation,36,0
14640,81077,19.77,28.19,777,4,9,0,33.1,17,0,RENT,credit_card,60,0
36639,48039,16.52,29.96,550,8,13,1,23.8,23,999,RENT,debt_consolidation,36,1
4889,47370,25.77,12.22,684,10,11,0,53.1,17,24,RENT,debt_consolidation,36,0
30158,195097,26.62,17.21,644,8,7,0,33.4,22,12,MORTGAGE,debt_consolidation,60,0
13455,105223,8.76,27.74,710,5,7,0,41.1,24,24,MORTGAGE,debt_consolidation,60,0
6720,37935,24.62,2.95,761,8,10,3,22.0,17,36,RENT,credit_card,36,0
18462,84336,16.08,13.29,615,8,5,0,62.1,29,0,OWN,debt_consolidation,36,0
15357,64280,15.43,18.29,841,9,12,0,13.7,19,0,OWN,major_purchase,36,0
8776,75730,23.05,24.0,712,3,11,3,41.5,21,0,RENT,major_purchase,60,1
14028,65017,7.14,21.89,722,1,15,0,4.0,35,999,OWN,debt_consolidation,36,0
10201,122245,25.3,32.32,613,8,9,0,11.8,22,36,RENT,debt_consolidation,36,0
14464,73671,20.43,21.3,697,1,9,0,43.0,21,0,RENT,debt_consolidation,60,0
21236,57684,25.13,40.69,758,5,10,1,20.7,22,24,OWN,debt_consolidation,36,0
40000,111894,27.87,17.11,712,2,12,0,37.4,14,0,MORTGAGE,debt_consolidation,36,0
5616,68869,16.91,23.64,708,4,13,1,31.2,17,0,RENT,debt_consolidation,60,1
40000,64401,7.15,0.14,696,6,16,0,40.4,24,0,OWN,debt_consolidation,36,0
3406,72288,8.83,13.97,617,10,12,0,37.3,14,999,OTHER,debt_consolidation,36,0
12013,56603,12.44,39.0,616,8,12,2,10.7,17,60,MORTGAGE,major_purchase,36,0
20167,60206,7.38,15.01,770,2,11,1,25.3,15,0,OWN,home_improvement,36,0
16263,42107,23.75,11.39,752,10,11,1,18.3,24,6,RENT,credit_card,60,0
8639,38150,11.83,24.46,761,6,9,0,3.0,21,36,RENT,debt_consolidation,36,0
11548,32887,27.45,3.54,650,2,6,0,40.5,24,999,RENT,medical,60,0
9460,25972,21.16,23.92,690,6,13,0,17.8,20,0,RENT,debt_consolidation,60,1
8843,35318,8.99,13.66,773,2,9,0,21.1,15,24,RENT,debt_consolidation,60,0
24214,53929,15.95,17.24,626,4,11,0,24.0,20,0,RENT,debt_consolidation,60,1
17152,63695,15.74,35.61,767,9,11,1,51.1,18,60,RENT,debt_consolidation,60,0
8225,50879,16.33,29.79,664,8,5,0,5.6,24,18,RENT,debt_consolidation,36,0
25077,15000,17.32,20.07,648,6,10,0,37.7,27,0,MORTGAGE,small_business,60,0
16566,154006,5.72,25.99,698,2,12,2,9.3,22,999,RENT,credit_card,36,0
23600,114908,20.78,34.51,632,3,10,3,54.4,17,72,RENT,debt_consolidation,60,0
20759,78233,16.21,33.56,586,10,5,2,55.5,27,48,RENT,major_purchase,36,1
7477,188055,23.19,8.34,704,4,9,1,47.7,20,0,MORTGAGE,other,60,0
9026,33308,23.75,13.54,732,7,6,0,53.3,26,48,RENT,debt_consolidation,60,0
22541,185827,10.3,15.67,772,6,10,1,70.0,18,48,RENT,education,36,0
